iter	Passed	Remaining
715	2081	244
716	2083	241
717	2086	238
718	2089	235
719	2094	232
720	2097	229
721	2099	226
722	2101	223
723	2103	220
724	2105	217
725	2110	215
726	2113	212
727	2116	209
728	2121	206
729	2124	203
730	2127	200
731	2129	197
732	2132	194
733	2134	191
734	2136	188
735	2143	186
736	2145	183
737	2147	180
738	2150	177
739	2152	174
740	2155	171
741	2158	168
742	2160	165
743	2162	162
744	2164	159
745	2166	156
746	2169	153
747	2173	151
748	2176	148
749	2178	145
750	2180	142
751	2183	139
752	2185	136
753	2189	133
754	2191	130
755	2195	127
756	2197	124
757	2199	121
758	2202	118
759	2206	116
760	2208	113
761	2210	110
762	2212	107
763	2214	104
764	2217	101
765	2219	98
766	2234	96
767	2240	93
768	2245	90
769	2249	87
770	2252	84
771	2255	81
772	2259	78
773	2261	75
774	2264	73
775	2267	70
776	2269	67
777	2272	64
778	2274	61
779	2276	58
780	2278	55
781	2280	52
782	2283	49
783	2284	46
784	2288	43
785	2290	40
786	2292	37
787	2294	34
788	2296	32
789	2299	29
790	2301	26
791	2303	23
792	2305	20
793	2307	17
794	2309	14
795	2311	11
796	2313	8
797	2316	5
798	2319	2
799	2321	0
